R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Y62,QOP,COBBETT HOUSE,OXFORD ROAD,,MANCHESTER,,M13 9WL,20171001,,,,,,,,,,,0,,B
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,Y59,QNX,HOLTYE ROAD,,,EAST GRINSTEAD,,RH19 3DZ,19940401,,,,,,,,,,,0,,J
RPG,OXLEAS NHS FOUNDATION TRUST,Y59,QKS,PINEWOOD HOUSE,PINEWOOD PLACE,,DARTFORD,,DA2 7WG,19940401,,,,,,,,,,,0,,J
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,Y56,QRV,FULHAM ROAD,,,LONDON,GREATER LONDON,SW3 6JJ,19940401,,,,,,,,,,,0,,H
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Y60,QHL,STEELHOUSE LANE,,,BIRMINGHAM,WEST MIDLANDS,B4 6NH,19950401,,,,,,,,,,,0,,F
RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,Y62,Q75,ROYAL LIVERPOOL UNIVERSITY HOSPITAL,PRESCOT STREET,,LIVERPOOL,,L7 8XP,19950401,20190930,,,,,,,,,,0,,B
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,Y61,QH8,BROOMFIELD HOSPITAL,COURT ROAD,,CHELMSFORD,,CM1 7ET,19950401,,,,,,,,,,,0,,G
RQF,VELINDRE NHS TRUST,W00,Q99,UNIT 2,CHARNWOOD COURT,HEOL BILLINGSLEY,CARDIFF,,CF15 7QZ,19940401,,,,,,,,,,,0,,W
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,Y56,QRV,CHELSEA & WESTMINSTER HOSPITAL,369 FULHAM ROAD,,LONDON,,SW10 9NH,19940401,,,,,,,,,,,0,,H
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,Y61,QM7,HAMSTEL ROAD,,,HARLOW,,CM20 1QX,19950401,,,,,,,,,,,0,,G
RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Y56,QMF,HOMERTON ROW,,,LONDON,,E9 6SR,19950401,,,,,,,,,,,0,,H
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,Y56,QWE,SPRINGFIELD HOSPITAL,61 GLENBURNIE ROAD,,LONDON,,SW17 7DJ,19950401,,,,,,,,,,,0,,H
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,Y63,QHM,QUEEN ELIZABETH HOSPITAL,SHERIFF HILL,,GATESHEAD,,NE9 6SX,19980401,,,,,,,,,,,0,,A
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,Y63,QWO,ST. JAMES'S UNIVERSITY HOSPITAL,BECKETT STREET,,LEEDS,,LS9 7TF,19980401,,,,,,,,,,,0,,D
RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,Y60,QNC,TRUST HEADQUARTERS,ST GEORGES HOSPITAL,CORPORATION STREET,STAFFORD,STAFFORDSHIRE,ST16 3SR,20010401,,,,,,,,,,,0,,F
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",Y62,QOP,ROYAL ALBERT EDWARD INFIRMARY,WIGAN LANE,,WIGAN,,WN1 2NN,20010401,,,,,,,,,,,0,,B
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,Y60,QHL,THE WOODLANDS,BRISTOL ROAD SOUTH,NORTHFIELD,BIRMINGHAM,,B31 2AP,19950401,,,,,,,,,,,0,,F
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,Y60,QHL,QUEEN ELIZABETH HOSPITAL,MINDELSOHN WAY,EDGBASTON,BIRMINGHAM,WEST MIDLANDS,B15 2GW,19950401,,,,,,,,,,,0,,F
RRP,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",Y56,QMJ,TRUST HEADQUARTERS BLOCK B2,ST ANN'S HOSPITAL,ST ANN'S ROAD,LONDON,,N15 3TH,20010401,,,,,,,,,,,0,,H
RRU,LONDON AMBULANCE SERVICE NHS TRUST,Y56,QKK,220 WATERLOO ROAD,,,LONDON,,SE1 8SD,19960401,,,,,,,,,,,0,,H
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,Y56,QMJ,250 EUSTON ROAD,,,LONDON,,NW1 2PG,19960401,,,,,,,,,,,0,,H
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,Y61,QUE,"ELIZABETH HOUSE,",FULBOURN HOSPITAL,FULBOURN,CAMBRIDGE,,CB21 5EF,20020401,,,,,,,,,,,0,,G
RT2,PENNINE CARE NHS FOUNDATION TRUST,Y62,QOP,225 OLD STREET,,,ASHTON-UNDER-LYNE,,OL6 7SR,20020401,,,,,,,,,,,0,,B
RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,Y56,QRV,ROYAL BROMPTON HOSPITAL,SYDNEY STREET,,LONDON,GREATER LONDON,SW3 6NP,19980401,,,,,,,,,,,0,,H
RT4,WELSH AMBULANCE SERVICES NHS TRUST,W00,Q99,UNIT 7,FFORDD RICHARD DAVIES,ST ASAPH BUSINESS PARK,ST. ASAPH,,LL17 0LJ,19980401,,,,,,,,,,,0,,W
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,Y60,QK1,RIVERSIDE HOUSE,BRIDGE PARK PLAZA,BRIDGE PARK ROAD,LEICESTER,LEICESTERSHIRE,LE4 8PQ,19990401,,,,,,,,,,,0,,E
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,Y63,QHM,FREEMAN HOSPITAL,FREEMAN ROAD,HIGH HEATON,NEWCASTLE UPON TYNE,,NE7 7DN,19980401,,,,,,,,,,,0,,A
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,Y58,QR1,CHELTENHAM GENERAL HOSPITAL,SANDFORD ROAD,,CHELTENHAM,,GL53 7AN,20020401,,,,,,,,,,,0,,K
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,Y63,QHM,NORTH TYNESIDE GENERAL HOSPITAL,RAKE LANE,,NORTH SHIELDS,,NE29 8NH,19980401,,,,,,,,,,,0,,A
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,Y60,QJ2,ROYAL DERBY HOSPITAL,UTTOXETER ROAD,,DERBY,,DE22 3NE,19980401,,,,,,,,,,,0,,E
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y59,QU9,JOHN RADCLIFFE HOSPITAL,HEADLEY WAY,HEADINGTON,OXFORD,,OX3 9DU,19980401,,,,,,,,,,,0,,J
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,Y59,QXU,ST PETERS HOSPITAL,GUILDFORD ROAD,,CHERTSEY,,KT16 0PZ,19980401,,,,,,,,,,,0,,J
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,Y59,QXU,TRUST HEADQUARTERS,EAST SURREY HOSPITAL,CANADA AVENUE,REDHILL,SURREY,RH1 5RH,19980401,,,,,,,,,,,0,,J
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,Y58,QR1,EDWARD JENNER COURT,1010 PIONEER AVENUE,GLOUCESTER BUSINESS PARK,GLOUCESTER,,GL3 4AW,20020401,,,,,,,,,,,0,,K
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,Y63,QHM,JAMES COOK UNIVERSITY HOSPITAL,MARTON ROAD,,MIDDLESBROUGH,,TS4 3BW,20020401,,,,,,,,,,,0,,A
RTV,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,Y62,QYG,HOLLINS PARK HOUSE,HOLLINS PARK HOSPITAL,HOLLINS LANE,WARRINGTON,,WA2 8WA,20020401,,,,,,,,,,,0,,B
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,Y62,QE1,WESTMORLAND GENERAL HOSPITAL,BURTON ROAD,,KENDAL,,LA9 7RG,19980401,,,,,,,,,,,0,,B
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,Y56,QMJ,TRUST HEADQUARTERS,350 EUSTON ROAD,REGENTS PLACE,LONDON,,NW1 3AX,19990401,,,,,,,,,,,0,,H
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,Y56,QKK,BETHLEM ROYAL HOSPITAL,MONKS ORCHARD ROAD,,BECKENHAM,KENT,BR3 3BX,19990401,,,,,,,,,,,0,,H
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,Y63,QOQ,"TRUST HQ, WILLERBY HILL",BEVERLEY ROAD,WILLERBY,HULL,,HU10 6ED,19991001,,,,,,,,,,,0,,D
RVJ,NORTH BRISTOL NHS TRUST,Y58,QUY,SOUTHMEAD HOSPITAL,SOUTHMEAD ROAD,WESTBURY-ON-TRYM,BRISTOL,,BS10 5NB,19990401,,,,,,,,,,,0,,K
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,Y58,QOX,BATH NHS HOUSE,NEWBRIDGE HILL,,BATH,,BA1 3QE,19990401,,,,,,,,,,,0,,K
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,Y56,QWE,ST HELIER HOSPITAL,WRYTHE LANE,,CARSHALTON,,SM5 1AA,19990401,,,,,,,,,,,0,,H
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,Y59,QKS,KENT & CANTERBURY HOSPITAL,ETHELBERT ROAD,,CANTERBURY,,CT1 3NG,19990401,,,,,,,,,,,0,,J
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,Y63,QHM,UNIVERSITY HOSPITAL OF HARTLEPOOL,HOLDFORTH ROAD,,HARTLEPOOL,,TS24 9AH,19990401,,,,,,,,,,,0,,A
RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,Y62,QYG,TOWN LANE,,,SOUTHPORT,,PR8 6PN,19990401,,,,,,,,,,,0,,B
RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,Y59,QRL,TATCHBURY MOUNT HOSPITAL,CALMORE,,SOUTHAMPTON,,SO40 2RZ,20010401,,,,,,,,,,,0,,J
RW4,MERSEY CARE NHS FOUNDATION TRUST,Y62,QYG,V7 BUILDING,KINGS BUSINESS PARK,KINGS DRIVE,PRESCOT,,L34 1PJ,20010401,,,,,,,,,,,0,,B
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,Y62,QE1,SCEPTRE POINT,SCEPTRE WAY,BAMBER BRIDGE,PRESTON,,PR5 6AW,20020401,,,,,,,,,,,0,,B
RW6,PENNINE ACUTE HOSPITALS NHS TRUST,Y62,QOP,TRUST HEADQUARTERS,NORTH MANCHESTER GENERAL HOSPITAL,"DELAUNAYS ROAD, CRUMPSALL",MANCHESTER,,M8 5RB,20020401,,,,,,,,,,,0,,B
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,Y63,QOQ,HULL ROYAL INFIRMARY,ANLABY ROAD,,HULL,,HU3 2JZ,19991001,,,,,,,,,,,0,,D
RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,Y60,QJM,LINCOLN COUNTY HOSPITAL,GREETWELL ROAD,,LINCOLN,,LN2 5QY,20000401,,,,,,,,,,,0,,E
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,Y60,QK1,LEICESTER ROYAL INFIRMARY,INFIRMARY SQUARE,,LEICESTER,,LE1 5WW,20000401,,,,,,,,,,,0,,E
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,Y59,QKS,THE MAIDSTONE HOSPITAL,HERMITAGE LANE,,MAIDSTONE,,ME16 9QQ,20000401,,,,,,,,,,,0,,J
RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,Y61,QM7,TRUST OFFICES,WATFORD GENERAL HOSPITAL,VICARAGE ROAD,WATFORD,,WD18 0HB,20000401,,,,,,,,,,,0,,G
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,Y61,QM7,LISTER HOSPITAL,COREYS MILL LANE,,STEVENAGE,HERTFORDSHIRE,SG1 4AB,20000401,,,,,,,,,,,0,,G
RWJ,STOCKPORT NHS FOUNDATION TRUST,Y62,QOP,STEPPING HILL HOSPITAL,POPLAR GROVE,,STOCKPORT,,SK2 7JE,20000401,,,,,,,,,,,0,,B
RWK,EAST LONDON NHS FOUNDATION TRUST,Y56,QMF,ROBERT DOLAN HOUSE,9 ALIE STREET,,LONDON,GREATER LONDON,E1 8DE,20000401,,,,,,,,,,,0,,H
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,Y60,QGH,WORCESTERSHIRE ROYAL HOSPITAL,CHARLES HASTINGS WAY,,WORCESTER,,WR5 1DD,20000401,,,,,,,,,,,0,,F
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Y61,QM7,THE COLONNADES,BEACONSFIELD CLOSE,,HATFIELD,,AL10 8YE,20010401,,,,,,,,,,,0,,G
RWV,DEVON PARTNERSHIP NHS TRUST,Y58,QJK,WONFORD HOUSE HOSPITAL,DRYDEN ROAD,,EXETER,,EX2 5AF,20010401,,,,,,,,,,,0,,K
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,Y62,QYG,WARRINGTON HOSPITAL,LOVELY LANE,,WARRINGTON,,WA5 1QG,20010401,,,,,,,,,,,0,,B
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Y59,QNQ,FITZWILLIAM HOUSE,SKIMPED HILL LANE,,BRACKNELL,,RG12 1BQ,20010401,,,,,,,,,,,0,,J
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,Y63,QWO,TRUST HEADQUARTERS,ACRE STREET,LINDLEY,HUDDERSFIELD,,HD3 3EA,20010401,,,,,,,,,,,0,,D
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,Y60,QT1,TRUST HEADQUARTERS,QUEENS MEDICAL CENTRE,DERBY ROAD,NOTTINGHAM,,NG7 2UH,20060401,,,,,,,,,,,0,,E
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,Y59,QNX,TRUST HQ,SWANDEAN,ARUNDEL ROAD,WORTHING,,BN13 3EP,20060401,,,,,,,,,,,0,,J
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",Y63,QHM,TRUST HEADQUARTERS,WEST PARK HOSPITAL,EDWARD PEASE WAY,DARLINGTON,,DL2 2TS,20060401,,,,,,,,,,,0,,A
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",Y63,QHM,ST NICHOLAS HOSPITAL,JUBILEE ROAD,GOSFORTH,NEWCASTLE UPON TYNE,TYNE AND WEAR,NE3 3XT,20060401,,,,,,,,,,,0,,A
RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,Y63,QHM,BERNICIA HOUSE,THE WATERFRONT,GOLDCREST WAY,NEWCASTLE UPON TYNE,,NE15 8NY,20060701,,,,,,,,,,,0,,A
RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,Y62,QOP,LADYBRIDGE HALL,399 CHORLEY NEW ROAD,,BOLTON,,BL1 5DD,20060701,,,,,,,,,,,0,,B
RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,Y63,QWO,SPRINGHILL,2 BRINDLEY WAY,WAKEFIELD 41 INDUSTRIAL ESTATE,WAKEFIELD,,WF2 0XQ,20060701,,,,,,,,,,,0,,D
RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,Y60,QT1,1 HORIZON PLACE,MELLORS WAY,NOTTINGHAM BUSINESS PARK,NOTTINGHAM,,NG8 6PY,20060701,,,,,,,,,,,0,,E
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,Y62,QYG,TRUST HEADQUARTERS REDESMERE,THE COUNTESS OF CHESTER HEALTH PARK,LIVERPOOL ROAD,CHESTER,,CH2 1BQ,20020401,,,,,,,,,,,0,,B
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,Y59,QNX,ST ANNES HOUSE,729 THE RIDGE,,ST. LEONARDS-ON-SEA,,TN37 7PT,20020401,,,,,,,,,,,0,,J
RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,Y63,QF7,WOODFIELD HOUSE,TICKHILL ROAD,,DONCASTER,,DN4 8QN,20040401,,,,,,,,,,,0,,D
RXF,MID YORKSHIRE HOSPITALS NHS TRUST,Y63,QWO,PINDERFIELDS HOSPITAL,ABERFORD ROAD,,WAKEFIELD,,WF1 4DG,20020401,,,,,,,,,,,0,,D
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,Y63,QWO,TRUST HEADQUARTERS,FIELDHEAD HOSPITAL,OUCHTHORPE LANE,WAKEFIELD,,WF1 3SP,20020401,,,,,,,,,,,0,,D
RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,Y59,QNX,ROYAL SUSSEX COUNTY HOSPITAL,EASTERN ROAD,,BRIGHTON,,BN2 5BE,20020401,,,,,,,,,,,0,,J
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,Y60,QUA,CITY HOSPITAL,DUDLEY ROAD,,BIRMINGHAM,,B18 7QH,20020401,,,,,,,,,,,0,,F
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,Y62,QE1,VICTORIA HOSPITAL,WHINNEY HEYS ROAD,,BLACKPOOL,,FY3 8NR,20020401,,,,,,,,,,,0,,B
RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,Y60,QJ2,TRUST HEADQUARTERS,KINGSWAY HOSPITAL,KINGSWAY,DERBY,,DE22 3LZ,20020401,,,,,,,,,,,0,,E
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,Y62,QE1,ROYAL PRESTON HOSPITAL,SHAROE GREEN LANE,FULWOOD,PRESTON,,PR2 9HT,20020801,,,,,,,,,,,0,,B
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,Y63,QHM,DARLINGTON MEMORIAL HOSPITAL,HOLLYHURST ROAD,,DARLINGTON,,DL3 6HX,20021001,,,,,,,,,,,0,,A
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Y59,QU9,AMERSHAM HOSPITAL,WHIELDEN STREET,,AMERSHAM,,HP7 0JD,20030401,,,,,,,,,,,0,,J
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,Y62,QE1,ROYAL BLACKBURN HOSPITAL,HASLINGDEN ROAD,,BLACKBURN,,BB2 3HH,20030401,,,,,,,,,,,0,,B
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,Y60,QUA,UNIT 1,50 SUMMER HILL ROAD,,BIRMINGHAM,,B1 3RB,20030401,,,,,,,,,,,0,,F
RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,Y62,QOP,PRESTWICH HOSPITAL,BURY NEW ROAD,PRESTWICH,MANCHESTER,,M25 3BL,20030401,,,,,,,,,,,0,,B
RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,Y60,QOC,MYTTON OAK ROAD,,,SHREWSBURY,,SY3 8XQ,20031001,,,,,,,,,,,0,,F
RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,Y59,QXU,18 MOLE BUSINESS PARK,RANDALLS ROAD,,LEATHERHEAD,,KT22 7AD,20050401,,,,,,,,,,,0,,J
RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,Y59,QKS,FARM VILLA,HERMITAGE LANE,,MAIDSTONE,,ME16 9PH,20060401,,,,,,,,,,,0,,J
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,Y62,QYG,EUROPA POINT,EUROPA BOULEVARD,WESTBROOK,WARRINGTON,CHESHIRE,WA5 7TY,20101101,,,,,,,,,,,0,,B
RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,Y61,QMM,NORWICH COMMUNITY HOSPITAL,BOWTHORPE ROAD,,NORWICH,,NR2 3TU,20101101,,,,,,,,,,,0,,G
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,Y61,QM7,UNIT 1A HOWARD COURT,14 TEWIN ROAD,,WELWYN GARDEN CITY,HERTFORDSHIRE,AL7 1BW,20101101,,,,,,,,,,,0,,G
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,Y60,QJM,BEECH HOUSE,WITHAM PARK,WATERSIDE SOUTH,LINCOLN,LINCOLNSHIRE,LN5 7JH,20110401,,,,,,,,,,,0,,E
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,Y63,QWO,STOCKDALE HOUSE,8 VICTORIA ROAD,,LEEDS,,LS6 1PF,20110401,,,,,,,,,,,0,,D
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,Y62,QYG,DERBY ROAD,,,BIRKENHEAD,,CH42 0LQ,20110401,,,,,,,,,,,0,,B
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,Y60,QJ2,"TRUST HQ, ASH GREEN DISABILITY CTR",ASHGATE ROAD,ASHGATE,CHESTERFIELD,,S42 7JE,20110401,,,,,,,,,,,0,,E
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,Y56,QWE,THAMES HOUSE,180-194 HIGH STREET,,TEDDINGTON,,TW11 8HU,20110401,,,,,,,,,,,0,,H
RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,Y60,QUA,MILLENNIUM POINT,WATERFRONT BUSINESS PARK,DUDLEY ROAD,BRIERLEY HILL,,DY5 1LX,20060701,,,,,,,,,,,0,,F
RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,Y61,QUE,UNIT 3,WHITING WAY,MELBOURN,ROYSTON,,SG8 6NA,20060701,,,,,,,,,,,0,,G
RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,Y59,QNX,TRUST HEADQUARTERS,NEXUS HOUSE,4 GATWICK ROAD,CRAWLEY,,RH10 9BG,20060701,,,,,,,,,,,0,,J
RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,Y59,QU9,7-8 TALISMAN BUSINESS CENTRE,TALISMAN ROAD,,BICESTER,,OX26 6HR,20060701,,,,,,,,,,,0,,J
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,Y58,QJK,ABBEY COURT,EAGLE WAY,,EXETER,DEVON,EX2 7HY,20060701,,,,,,,,,,,0,,K
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,Y60,QWU,WAYSIDE HOUSE,WILSONS LANE,,COVENTRY,,CV6 6NY,20061001,,,,,,,,,,,0,,F
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,Y56,QRV,THE BAYS,ST MARYS HOSPITAL,SOUTH WHARF ROAD,LONDON,,W2 1BL,20071001,,,,,,,,,,,0,,H
RYK,DUDLEY INTEGRATED HEALTH AND CARE NHS TRUST,Y60,QUA,VENTURE WAY,,,BRIERLEY HILL,,DY5 1RU,20081001,,,,,,,,,,,1,,F
RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,Y59,QNX,WORTHING HOSPITAL,LYNDHURST ROAD,,WORTHING,,BN11 2DH,20090401,,,,,,,,,,,0,,J
RYT,PUBLIC HEALTH WALES NHS TRUST,W00,Q99,2 CAPITAL QUARTER,TYNDALL STREET,,CARDIFF,,CF10 4BZ,20091001,,,,,,,,,,,0,,W
RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,Y61,QUE,UNIT 7/8,MEADOW PARK,MEADOW LANE,ST. IVES,,PE27 4LG,20100401,,,,,,,,,,,0,,G
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,Y60,QHL,3 PRIESTLEY WHARF,HOLT STREET,"BIRMINGHAM SCIENCE PARK, ASTON",BIRMINGHAM,,B7 4BN,20101101,,,,,,,,,,,0,,F
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,Y56,QRV,GROUND FLOOR,15 MARYLEBONE ROAD,,LONDON,,NW1 5JD,20101101,,,,,,,,,,,0,,H
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,Y59,QKS,UNIT D,THE OAST,HERMITAGE LANE,MAIDSTONE,,ME16 9NT,20101101,,,,,,,,,,,0,,J
R0D,University Hospitals Dorset NHS Foundation Trust,Y58,QVV,,,,,,,20201001,,,,,,,,,,,,,