trust_code,ltla_code,p_trust,p_ltla
R0A,E06000049,0.041666666666666664,0.08504398826979472
R0A,E08000002,0.008620689655172414,0.03361344537815126
R0A,E08000003,0.5014367816091954,0.7678767876787679
R0A,E08000004,0.016522988505747127,0.043726235741444866
R0A,E08000005,0.008620689655172414,0.02771362586605081
R0A,E08000006,0.007902298850574713,0.024608501118568233
R0A,E08000007,0.07327586206896551,0.17647058823529413
R0A,E08000008,0.029454022988505746,0.07243816254416961
R0A,E08000009,0.3125,0.9216101694915254
R0B,E06000047,0.12212817412333736,0.1631663974151858
R0B,E08000023,0.31680773881499397,1
R0B,E08000024,0.5610640870616687,0.9206349206349206
R0D,E06000058,0.7281553398058253,1
R0D,E06000059,0.20711974110032363,0.38323353293413176
R0D,E07000091,0.06472491909385113,0.1834862385321101
R1F,E06000046,1,1
R1H,E07000072,0.04445422535211268,0.42616033755274263
R1H,E09000002,0.02992957746478873,0.16267942583732056
R1H,E09000005,0.006161971830985915,0.011119936457505957
R1H,E09000010,0.007482394366197183,0.022818791946308724
R1H,E09000012,0.05413732394366197,0.21354166666666666
R1H,E09000014,0.007482394366197183,0.027642276422764227
R1H,E09000019,0.0048415492957746475,0.030303030303030304
R1H,E09000025,0.31205985915492956,0.9568151147098516
R1H,E09000026,0.09154929577464789,0.31137724550898205
R1H,E09000030,0.1949823943661972,1
R1H,E09000031,0.24691901408450703,0.9136807817589576
R1K,E09000003,0.03218173213440606,0.07249466950959488
R1K,E09000005,0.32796971131093233,0.5504368546465449
R1K,E09000009,0.2640795078088026,0.625560538116592
R1K,E09000015,0.3232371036441079,0.8130952380952381
R1K,E09000017,0.040227165168007575,0.1486013986013986
R1K,E09000018,0.012304779933743492,0.0593607305936073
RA2,E07000085,0.11337209302325581,0.3611111111111111
RA2,E07000209,0.45930232558139533,0.8729281767955801
RA2,E07000216,0.39244186046511625,0.7848837209302325
RA2,E07000217,0.03488372093023256,0.0784313725490196
RA4,E06000059,0.1523809523809524,0.09580838323353294
RA4,E07000187,0.12380952380952381,0.24528301886792453
RA4,E07000189,0.7238095238095238,0.7676767676767676
RA7,E06000023,0.551980198019802,0.5617128463476071
RA7,E06000024,0.35396039603960394,0.7944444444444444
RA7,E06000025,0.034653465346534656,0.058091286307053944
RA7,E07000188,0.0594059405940594,0.17391304347826086
RA9,E06000027,0.5508474576271186,1
RA9,E07000044,0.1016949152542373,0.34285714285714286
RA9,E07000045,0.3474576271186441,0.7735849056603774
RAE,E08000032,1,0.79768177028451
RAJ,E06000033,0.17590361445783131,1
RAJ,E06000034,0.18674698795180722,1
RAJ,E07000066,0.22048192771084338,1
RAJ,E07000067,0.05783132530120482,0.7218045112781954
RAJ,E07000068,0.07168674698795181,0.6761363636363636
RAJ,E07000069,0.0819277108433735,1
RAJ,E07000070,0.10060240963855421,1
RAJ,E07000074,0.021686746987951807,1
RAJ,E07000075,0.06987951807228916,1
RAJ,E07000077,0.01325301204819277,0.2619047619047619
RAL,E07000095,0.012132822477650063,0.14728682170542637
RAL,E07000098,0.06577266922094509,0.34915254237288135
RAL,E07000241,0.007662835249042145,0.10256410256410256
RAL,E09000003,0.5019157088122606,0.837953091684435
RAL,E09000005,0.12132822477650064,0.15091342335186655
RAL,E09000007,0.12452107279693486,0.5025773195876289
RAL,E09000010,0.0970625798212005,0.2040268456375839
RAL,E09000014,0.028735632183908046,0.07317073170731707
RAL,E09000015,0.02937420178799489,0.05476190476190476
RAL,E09000033,0.011494252873563218,0.0430622009569378
RAP,E07000095,0.043243243243243246,0.31007751937984496
RAP,E09000010,0.5805405405405405,0.7208053691275168
RAP,E09000014,0.34054054054054056,0.5121951219512195
RAP,E09000031,0.03567567567567568,0.05374592833876222
RAS,E09000009,0.09014675052410902,0.04820627802690583
RAS,E09000015,0.039832285115303984,0.02261904761904762
RAS,E09000017,0.870020964360587,0.7255244755244755
RAX,E07000207,0.09505703422053231,0.30303030303030304
RAX,E09000021,0.5209125475285171,0.9319727891156463
RAX,E09000024,0.07984790874524715,0.1242603550295858
RAX,E09000027,0.1958174904942966,0.49047619047619045
RAX,E09000029,0.019011406844106463,0.032362459546925564
RAX,E09000032,0.08935361216730038,0.11691542288557213
RBD,E06000059,1,0.4491017964071856
RBK,E07000192,0.03179650238473768,0.15384615384615385
RBK,E07000194,0.034976152623211444,0.11891891891891893
RBK,E07000196,0.03656597774244833,0.14935064935064934
RBK,E08000028,0.05564387917329094,0.053929121725731895
RBK,E08000030,0.8410174880763116,0.7942942942942943
RBL,E06000050,0.04078549848942598,0.04945054945054945
RBL,E08000015,0.959214501510574,1
RBN,E06000006,0.18229166666666666,0.45454545454545453
RBN,E08000011,0.3194444444444444,0.5878594249201278
RBN,E08000012,0.09895833333333333,0.05084745762711865
RBN,E08000013,0.3993055555555556,0.8914728682170543
RBS,E08000012,1,0.012488849241748439
RBT,E06000049,0.6673076923076923,0.5087976539589443
RBT,E06000050,0.3326923076923077,0.31684981684981683
RBV,E06000049,0.29411764705882354,0.021994134897360705
RBV,E08000003,0.19607843137254902,0.011001100110011002
RBV,E08000006,0.19607843137254902,0.02237136465324385
RBV,E08000007,0.3137254901960784,0.02768166089965398
RBZ,E07000043,0.7543859649122807,1
RBZ,E07000046,0.24561403508771928,1
RC9,E06000032,0.325017325017325,1
RC9,E06000055,0.33471933471933474,0.9757575757575757
RC9,E06000056,0.30076230076230076,0.9004149377593361
RC9,E07000096,0.009009009009009009,0.05829596412556054
RC9,E07000240,0.030492030492030493,0.22
RCB,E06000011,0.21272727272727274,0.3078947368421053
RCB,E06000014,0.3654545454545455,1
RCB,E07000164,0.02181818181818182,0.1188118811881188
RCB,E07000167,0.07454545454545454,1
RCB,E07000168,0.2381818181818182,1
RCB,E07000169,0.08727272727272728,1
RCD,E07000165,0.867109634551495,1
RCD,E08000035,0.132890365448505,0.03849855630413859
RCF,E07000122,0.16,0.2802547770700637
RCF,E07000163,0.2,1
RCF,E08000032,0.64,0.18545837723919917
RCX,E07000010,0.1277258566978193,0.39805825242718446
RCX,E07000140,0.056074766355140186,0.16071428571428573
RCX,E07000143,0.11214953271028037,0.28125
RCX,E07000146,0.6666666666666666,1
RCX,E07000147,0.037383177570093455,0.16666666666666666
RD1,E06000022,0.41009463722397477,1
RD1,E06000025,0.06309148264984227,0.08298755186721991
RD1,E06000054,0.40063091482649843,0.4031746031746032
RD1,E07000187,0.12618296529968454,0.7547169811320755
RD8,E06000042,0.8740554156171285,1
RD8,E06000056,0.030226700251889168,0.024896265560165973
RD8,E06000060,0.09571788413098237,0.07224334600760456
RDE,E07000067,0.04774193548387097,0.2781954887218045
RDE,E07000071,0.22838709677419355,1
RDE,E07000076,0.2232258064516129,1
RDE,E07000200,0.06322580645161291,0.7205882352941176
RDE,E07000202,0.2541935483870968,1
RDE,E07000203,0.07870967741935483,0.580952380952381
RDE,E07000244,0.10451612903225807,0.3632286995515695
RDU,E06000036,0.08303886925795052,0.7401574803149606
RDU,E06000039,0.2871024734982332,0.9502923976608187
RDU,E06000040,0.13427561837455831,0.9212121212121213
RDU,E06000041,0.014134275618374558,0.0855614973262032
RDU,E06000060,0.17314487632508835,0.3726235741444867
RDU,E07000089,0.05565371024734982,1
RDU,E07000092,0.09982332155477032,1
RDU,E07000209,0.020318021201413426,0.1270718232044199
RDU,E07000214,0.09982332155477032,0.8828125
RDU,E07000216,0.03268551236749117,0.21511627906976744
REF,E06000052,1,0.6894977168949772
REM,E06000006,0.0063532401524777635,0.04329004329004329
REM,E07000127,0.010800508259212199,0.07981220657276995
REM,E08000011,0.08195679796696315,0.41214057507987223
REM,E08000012,0.6670902160101652,0.936663693131133
REM,E08000013,0.0063532401524777635,0.03875968992248062
REM,E08000014,0.22744599745870395,0.62478184991274
RF4,E07000068,0.03961084086170952,0.32386363636363635
RF4,E07000072,0.010423905489923557,0.06329113924050633
RF4,E09000002,0.2432244614315497,0.8373205741626795
RF4,E09000016,0.37873523280055593,1
RF4,E09000025,0.008339124391938846,0.016194331983805668
RF4,E09000026,0.31966643502432246,0.688622754491018
RFF,E08000016,0.9689265536723164,0.9634831460674157
RFF,E08000034,0.031073446327683617,0.01794453507340946
RFR,E08000017,0.03441682600382409,0.04157043879907621
RFR,E08000018,0.9254302103250478,0.9272030651340997
RFR,E08000019,0.040152963671128104,0.023230088495575223
RFS,E07000033,0.2,0.7843137254901961
RFS,E07000034,0.335,1
RFS,E07000035,0.1125,0.5487804878048781
RFS,E07000038,0.3525,1
RGM,E07000011,1,0.10837438423645321
RGN,E06000017,0.018425460636515914,1
RGN,E06000031,0.4388609715242881,1
RGN,E06000055,0.020100502512562814,0.024242424242424242
RGN,E07000010,0.10385259631490787,0.6019417475728155
RGN,E07000011,0.2830820770519263,0.8325123152709359
RGN,E07000140,0.04187604690117253,0.22321428571428573
RGN,E07000141,0.09380234505862646,0.6222222222222222
RGP,E07000145,0.36401673640167365,1
RGP,E07000149,0.04184100418410042,0.12658227848101267
RGP,E07000244,0.5941422594142259,0.6367713004484304
RGR,E07000143,0.14942528735632185,0.203125
RGR,E07000200,0.10919540229885058,0.27941176470588236
RGR,E07000203,0.1896551724137931,0.3142857142857143
RGR,E07000245,0.5517241379310345,0.6620689655172414
RGT,E07000008,0.27906976744186046,1
RGT,E07000009,0.2,1
RGT,E07000011,0.027906976744186046,0.059113300492610835
RGT,E07000012,0.2651162790697674,1
RGT,E07000077,0.07674418604651163,0.39285714285714285
RGT,E07000099,0.037209302325581395,0.12307692307692308
RGT,E07000245,0.11395348837209303,0.33793103448275863
RH5,E07000188,0.4935064935064935,0.8260869565217391
RH5,E07000189,0.09956709956709957,0.23232323232323232
RH5,E07000246,0.4069264069264069,1
RH8,E07000040,0.365296803652968,1
RH8,E07000041,0.3287671232876712,1
RH8,E07000042,0.2511415525114155,1
RH8,E07000045,0.0547945205479452,0.22641509433962265
RHM,E06000045,0.5522875816993464,1
RHM,E07000086,0.1454248366013072,0.6054421768707483
RHM,E07000087,0.0196078431372549,0.10344827586206896
RHM,E07000091,0.1454248366013072,0.8165137614678899
RHM,E07000093,0.11274509803921569,0.5348837209302325
RHM,E07000094,0.024509803921568627,0.11450381679389313
RHQ,E08000016,0.014099783080260303,0.03651685393258427
RHQ,E08000018,0.028199566160520606,0.04980842911877394
RHQ,E08000019,0.9577006507592191,0.9767699115044248
RHU,E06000044,0.34925864909390447,1
RHU,E07000085,0.060955518945634266,0.3425925925925926
RHU,E07000087,0.171334431630972,0.896551724137931
RHU,E07000088,0.14662273476112025,1
RHU,E07000090,0.22075782537067545,1
RHU,E07000094,0.051070840197693576,0.2366412213740458
RHW,E06000036,0.057391304347826085,0.25984251968503935
RHW,E06000037,0.1634782608695652,0.6911764705882353
RHW,E06000038,0.36695652173913046,1
RHW,E06000039,0.029565217391304348,0.049707602339181284
RHW,E06000040,0.022608695652173914,0.07878787878787878
RHW,E06000041,0.29739130434782607,0.9144385026737968
RHW,E07000179,0.06260869565217392,0.33962264150943394
RJ1,E09000004,0.02224824355971897,0.042600896860986545
RJ1,E09000006,0.01522248243559719,0.023172905525846704
RJ1,E09000008,0.01288056206088993,0.015172413793103448
RJ1,E09000011,0.03161592505854801,0.059602649006622516
RJ1,E09000022,0.3009367681498829,0.3635077793493635
RJ1,E09000023,0.08782201405152225,0.11261261261261261
RJ1,E09000028,0.42271662763466045,0.48783783783783785
RJ1,E09000032,0.0351288056206089,0.07462686567164178
RJ1,E09000033,0.07142857142857142,0.145933014354067
RJ2,E09000004,0.21122112211221122,0.5739910313901345
RJ2,E09000006,0.052805280528052806,0.1140819964349376
RJ2,E09000011,0.33003300330033003,0.8830022075055187
RJ2,E09000023,0.3943894389438944,0.7177177177177178
RJ2,E09000028,0.01155115511551155,0.01891891891891892
RJ6,E09000006,0.03503184713375796,0.0392156862745098
RJ6,E09000008,0.9028662420382165,0.7820689655172414
RJ6,E09000022,0.022292993630573247,0.019801980198019802
RJ6,E09000024,0.01751592356687898,0.03254437869822485
RJ6,E09000029,0.022292993630573247,0.045307443365695796
RJ7,E09000008,0.0821917808219178,0.06620689655172414
RJ7,E09000021,0.03424657534246575,0.06802721088435375
RJ7,E09000022,0.13013698630136986,0.1074964639321075
RJ7,E09000024,0.3647260273972603,0.6301775147928994
RJ7,E09000029,0.039383561643835614,0.0744336569579288
RJ7,E09000032,0.3493150684931507,0.5074626865671642
RJC,E07000221,0.47527472527472525,0.8439024390243902
RJC,E07000222,0.5247252747252747,0.9502487562189055
RJE,E06000021,0.39603960396039606,1
RJE,E06000049,0.02103960396039604,0.024926686217008796
RJE,E07000192,0.07054455445544554,0.43846153846153846
RJE,E07000193,0.012376237623762377,0.043478260869565216
RJE,E07000194,0.01485148514851485,0.06486486486486487
RJE,E07000195,0.20297029702970298,1
RJE,E07000196,0.013613861386138614,0.07142857142857142
RJE,E07000197,0.1670792079207921,1
RJE,E07000198,0.10148514851485149,1
RJL,E06000011,0.029239766081871343,0.02631578947368421
RJL,E06000012,0.24269005847953215,1
RJL,E06000013,0.6111111111111112,1
RJL,E07000137,0.07894736842105263,0.32926829268292684
RJL,E07000142,0.038011695906432746,0.3170731707317073
RJN,E06000049,1,0.34310850439882695
RJR,E06000050,1,0.6336996336996337
RJZ,E09000004,0.05422100205902539,0.17713004484304934
RJZ,E09000006,0.31708991077556625,0.8235294117647058
RJZ,E09000008,0.0425531914893617,0.08551724137931034
RJZ,E09000011,0.017844886753603295,0.05739514348785872
RJZ,E09000022,0.24021962937542896,0.49504950495049505
RJZ,E09000023,0.07755662319835278,0.16966966966966968
RJZ,E09000028,0.25051475634866166,0.49324324324324326
RK5,E07000032,0.15723270440251572,0.20833333333333334
RK5,E07000033,0.13836477987421383,0.21568627450980393
RK5,E07000170,0.31446540880503143,0.5154639175257731
RK5,E07000174,0.23270440251572327,1
RK5,E07000175,0.15723270440251572,0.5319148936170213
RK9,E06000026,0.5863636363636363,1
RK9,E06000052,0.3090909090909091,0.3105022831050228
RK9,E07000044,0.10454545454545454,0.6571428571428571
RKB,E07000132,0.016105417276720352,0.07006369426751592
RKB,E07000151,0.020497803806734993,0.12844036697247707
RKB,E07000219,0.05710102489019034,0.14772727272727273
RKB,E07000220,0.1493411420204978,1
RKB,E07000222,0.014641288433382138,0.04975124378109453
RKB,E08000026,0.7423133235724744,1
RKE,E09000003,0.12364425162689804,0.060767590618336885
RKE,E09000007,0.04338394793926247,0.05154639175257732
RKE,E09000010,0.026030368763557483,0.016107382550335572
RKE,E09000012,0.05422993492407809,0.043402777777777776
RKE,E09000014,0.3796095444685466,0.2845528455284553
RKE,E09000019,0.37310195227765725,0.4738292011019284
